,name,species,year,city,count
353,WINNIE,dog,2007,Seattle,1.0
354,ONA,dog,2007,Seattle,1.0
355,PEARL,dog,2007,Seattle,1.0
356,MAXI,dog,2007,Seattle,1.0
357,FRANKIE,dog,2007,Seattle,1.0
358,HANNAH,dog,2007,Seattle,1.0
359,LADY,dog,2007,Seattle,1.0
360,ANGEL,dog,2007,Seattle,1.0
361,BAMBI,dog,2007,Seattle,1.0
362,SHELBY,dog,2007,Seattle,1.0
363,CHENMIE,dog,2007,Seattle,1.0
364,ICEISS,dog,2007,Seattle,1.0
365,LOLA,dog,2007,Seattle,1.0
366,BRIELLE,dog,2007,Seattle,1.0
367,BRANDY,dog,2007,Seattle,1.0
368,LADY,dog,2007,Seattle,1.0
369,MADISON,dog,2007,Seattle,1.0
370,SUMMIT,dog,2007,Seattle,1.0
371,MAGGIE,dog,2007,Seattle,1.0
372,BELLA,dog,2007,Seattle,1.0
373,HONEY,dog,2007,Seattle,1.0
374,NOELLE,dog,2007,Seattle,1.0
375,BELLA,dog,2007,Seattle,1.0
376,STAR,dog,2007,Seattle,1.0
377,BIG BARDA,dog,2007,Seattle,1.0
378,AVERY,dog,2007,Seattle,1.0
379,NINA,dog,2007,Seattle,1.0
380,CHLOE,dog,2007,Seattle,1.0
381,GINGER,dog,2007,Seattle,1.0
382,PEENUT,dog,2007,Seattle,1.0
383,SENORITA,dog,2007,Seattle,1.0
384,TALI,dog,2007,Seattle,1.0
385,OTTER,dog,2007,Seattle,1.0
386,ZIA,dog,2007,Seattle,1.0
387,BAILEY,dog,2007,Seattle,1.0
388,ADIA,dog,2007,Seattle,1.0
389,CHEYENNE,dog,2007,Seattle,1.0
390,PEPPER,dog,2007,Seattle,1.0
391,,dog,2007,Seattle,1.0
392,CHARLOTTE,dog,2007,Seattle,1.0
393,METTA,dog,2007,Seattle,1.0
394,AGGIE,dog,2007,Seattle,1.0
395,JUJU,dog,2007,Seattle,1.0
396,GIGI JOSETTE,dog,2007,Seattle,1.0
397,DOTTIE,dog,2007,Seattle,1.0
398,MADDIE,dog,2007,Seattle,1.0
399,COCO,dog,2007,Seattle,1.0
400,DIGITTY,dog,2007,Seattle,1.0
401,COCO,dog,2007,Seattle,1.0
402,ELLE,dog,2007,Seattle,1.0
403,PINKY,dog,2007,Seattle,1.0
404,DAISY,dog,2007,Seattle,1.0
405,MOMO,dog,2007,Seattle,1.0
406,KAIYA,dog,2007,Seattle,1.0
407,LIBBY,dog,2007,Seattle,1.0
408,ALLIE,dog,2007,Seattle,1.0
409,LC,dog,2007,Seattle,1.0
410,ELLA,dog,2007,Seattle,1.0
411,ANEEKA,dog,2007,Seattle,1.0
412,LOLA,dog,2007,Seattle,1.0
413,BIG SHIRLEY,dog,2007,Seattle,1.0
414,KELLY,dog,2007,Seattle,1.0
415,GINGER,dog,2007,Seattle,1.0
416,PAYTON,dog,2007,Seattle,1.0
417,SCOUT,dog,2007,Seattle,1.0
418,PENNY,dog,2007,Seattle,1.0
419,DAISY,dog,2007,Seattle,1.0
420,LUCY,dog,2007,Seattle,1.0
421,JEZAVEL,dog,2007,Seattle,1.0
422,STELLA,dog,2007,Seattle,1.0
423,MARTA,dog,2007,Seattle,1.0
424,WIDGET,dog,2007,Seattle,1.0
425,INDIGO,dog,2007,Seattle,1.0
426,LOIS LANE,dog,2007,Seattle,1.0
427,DAKOTA,dog,2007,Seattle,1.0
428,BROCKLEY,dog,2007,Seattle,1.0
429,,dog,2007,Seattle,1.0
430,SASHA,dog,2007,Seattle,1.0
431,GRACIE,dog,2007,Seattle,1.0
432,DILLI,dog,2007,Seattle,1.0
433,CANDY,dog,2007,Seattle,1.0
434,SALLY,dog,2007,Seattle,1.0
435,BANDANNA,dog,2007,Seattle,1.0
436,PUPPY F,dog,2007,Seattle,1.0
437,EDNA,dog,2007,Seattle,1.0
438,SHADE,dog,2007,Seattle,1.0
439,DOMINO,dog,2007,Seattle,1.0
440,BJ,dog,2007,Seattle,1.0
441,HOLLY,dog,2007,Seattle,1.0
442,ROSIE,dog,2007,Seattle,1.0
443,PELE,dog,2007,Seattle,1.0
444,SIMONE,dog,2007,Seattle,1.0
445,SHEBA,dog,2007,Seattle,1.0
446,CLAIRE,dog,2007,Seattle,1.0
447,BACIE,dog,2007,Seattle,1.0
448,BELLA,dog,2007,Seattle,1.0
449,TABOO,dog,2007,Seattle,1.0
450,PHOEVE,dog,2007,Seattle,1.0
451,ABBY,dog,2007,Seattle,1.0
452,CHAQUITA,dog,2007,Seattle,1.0
453,BISCUIT,dog,2007,Seattle,1.0
454,LEIA,dog,2007,Seattle,1.0
455,OTIS,dog,2007,Seattle,1.0
456,SAL,dog,2007,Seattle,1.0
457,STAR,dog,2007,Seattle,1.0
458,DAISY,dog,2007,Seattle,1.0
459,BERTIE,dog,2007,Seattle,1.0
