Zeitpunkt,Kanton,Ort,Höhe,Expo,Aktivität,Gef. Stufe,erfasst,verschüttet,gestorben
11/4/2006,VS,Orsières,2220,S,1,3,2,0,0
12/4/2006,GR,S-chanf,2720,NE,1,3,1,0,0
13/4/2006,GR,Bergün/Bravuogn,2900,NE,1,3,2,0,0
14/4/2006,GR,Bergün/Bravuogn,2580,NE,1,2,1,0,0
15/4/2006,GR,Davos,2640,N,1,2,3,1,0
22/4/2006,AI,Schwende / Rüte,1640,S,1,1↗︎3,1,0,0
30/4/2006,GR,Davos,2740,E,1,(1),1,0,0
30/4/2006,GR,Pontresina,3600,W,1,1,1,0,0
15/5/2006,GR,Klosters-Serneus,2960,N,1,-,1,0,0
20/8/2006,GR,Pontresina / Poschiavo,0,,1,-,1,0,0
9/12/2006,GR,Pontresina,3000,N,3,3,3,0,0
11/12/2006,GR,Davos,2650,NE,2,3,1,0,0
22/12/2006,GR,Klosters-Serneus,2570,N,2,2,1,0,0
31/12/2006,VD,Château-d’Œx,2420,N,1,1,2,0,0
31/12/2006,GR,Medel (Lucmagn),1960,NW,1,1,2,0,0
1/1/2007,BE,Lauenen,2000,W,1,3,2,1,1
2/1/2007,GR,Davos,2330,N,2,2,1,0,0
3/1/2007,UR,Andermatt,2200,E,2,3,1,0,0
3/1/2007,VS,Anniviers,2450,NW,2,3,2,1,0
3/1/2007,VS,Riddes,0,,,3,1,0,0
3/1/2007,SG,Vilters-Wangs,2160,NE,2,3,2,1,0
3/1/2007,VS,Chandolin,2460,W,2,3,2,0,0
3/1/2007,BE,Adelboden,2100,NE,2,(4),2,1,0
4/1/2007,GR,St. Antönien,2060,NE,1,3,4,2,0
5/1/2007,VS,Nendaz,2740,N,2,3,1,0,0
5/1/2007,GR,Samnaun,2800,SE,2,3,1,1,0
5/1/2007,VS,Fiesch,2730,E,2,3,1,0,0
5/1/2007,GR,Laax,2460,SW,2,3,1,0,0
5/1/2007,GL,Netstal,2240,NW,1,3,1,0,0
6/1/2007,VS,Arbaz,2600,NW,2,3,1,0,0
6/1/2007,SG,Sevelen,2320,N,1,3,18,1,0
6/1/2007,GR,Arosa,2340,N,1,3,1,0,0
6/1/2007,VS,Bagnes,0,,,3,1,0,0
6/1/2007,GR,S-chanf,2090,NE,1,(3),1,1,1
6/1/2007,GL,Schwanden,2200,NW,1,3,3,2,0
6/1/2007,BE,Lauterbrunnen,2700,NE,2,3,2,0,0
6/1/2007,VS,Martigny-Combe,2550,N,1,3,1,0,0
6/1/2007,None,None,2190,NW,1,3,1,1,1
7/1/2007,GR,Davos,2480,NE,2,3,1,1,0
7/1/2007,NW,Wolfenschiessen,2340,W,1,3,2,0,0
8/1/2007,SG,Mels,2570,W,1,3,1,1,1
14/1/2007,GR,Davos,2620,NE,2,2,1,0,0
14/1/2007,UR,Realp,3400,SE,1,2,1,0,0
14/1/2007,VS,Obergoms,0,,1,2,1,0,0
20/1/2007,GR,Samnaun,2740,SE,2,3,5,1,0
27/1/2007,VS,Radogne,2800,SW,3,2,1,0,0
27/1/2007,TI,Vaglio,1700,S,1,2,1,0,0
28/1/2007,VS,Troistorrents,0,,,2,1,1,0
28/1/2007,VS,Monthey / Val d’Illiez,1960,E,,(2),1,0,0
7/2/2007,UR,Realp,2060,N,2,(2),1,0,0
8/2/2007,GR,St. Antönien,2550,NW,1,2,1,0,0
9/2/2007,GR,Davos,2090,N,1,(2),2,0,0
9/2/2007,GR,Klosters-Serneus,2220,E,2,(2),1,0,0
9/2/2007,GR,Fuldera,2470,NE,1,2,1,0,0
